Customer ID,Family Size,Income,Ethnicity,Dogs,Cats,TVs,Newspaper subscriber,Male(Age),Female(Age),Children,Cable TV,Male Work Hours,Male Occupation,Male Education,Female Work Hours,Female Occupation,Female Education
15100115,1,1,1,0,0,1,0,7,6,8,1,5,11,9,4,10,5
15100503,4,8,1,0,0,3,1,3,3,6,1,3,4,5,2,2,4
15100677,4,6,1,0,0,2,1,2,2,1,0,3,1,6,3,4,5
15100768,2,5,1,0,0,2,0,6,6,8,0,4,10,4,4,10,4
15101121,2,4,1,0,1,9,1,6,6,8,0,2,9,6,4,10,8
15101246,2,4,1,0,0,1,1,7,6,8,1,5,11,9,4,10,5
15101519,2,7,1,0,0,9,1,6,6,8,1,4,10,5,4,10,4
15102004,3,7,1,0,0,2,0,5,5,8,1,3,2,4,3,4,4
15102202,2,6,2,0,0,1,0,7,3,3,0,5,11,9,3,4,6
15102319,2,6,1,0,1,1,1,6,6,8,1,4,10,4,4,10,5
15102327,6,6,2,0,0,9,0,5,5,6,1,3,5,4,1,13,4
15103002,2,6,1,0,0,2,0,5,4,8,1,3,2,8,1,13,4
15103887,2,1,1,0,0,1,1,6,6,8,0,4,10,2,4,10,4
15104307,3,7,1,1,0,9,0,6,6,8,1,3,3,4,2,3,5
15104315,2,5,1,0,0,2,0,6,5,8,1,4,10,8,2,4,8
15104398,6,9,1,2,0,3,0,3,3,3,1,3,5,8,3,4,4
15104521,2,4,1,0,0,2,0,6,6,8,0,4,10,2,4,10,3
15104570,3,1,1,0,1,1,0,7,3,6,0,5,11,9,1,13,5
15104786,3,7,1,0,0,2,0,3,2,1,0,3,6,5,1,13,8
15104869,4,7,1,0,0,2,1,5,5,8,1,3,6,4,1,13,4
15104885,4,5,1,0,0,1,1,4,4,8,0,3,2,5,2,2,5
15105510,2,1,2,0,0,3,0,7,6,8,1,5,11,9,4,10,3
15105601,3,8,2,0,0,1,0,4,4,8,0,3,1,6,3,1,7
15105908,5,6,1,0,0,3,0,3,2,2,1,3,7,3,1,13,4
15105965,5,1,1,0,2,9,1,7,2,6,1,5,11,9,1,13,6
15105973,3,7,1,0,3,3,1,7,2,8,1,5,11,9,3,2,4
15105981,5,6,1,1,0,2,1,4,2,4,1,3,6,8,2,3,4
15106237,2,8,1,0,0,9,1,6,6,8,1,4,10,7,4,10,4
15106443,2,3,1,0,0,3,1,7,6,8,0,5,11,9,1,13,4
15106500,4,6,1,1,0,2,0,3,3,4,1,3,1,5,2,9,5
15107144,4,8,1,0,1,3,0,4,4,8,1,3,2,6,3,4,4
15107151,2,7,1,1,0,1,0,5,5,8,1,3,7,4,3,7,4
15107169,2,1,1,0,0,2,0,6,6,8,0,4,10,2,4,10,2
15107227,3,4,2,0,0,2,1,7,6,8,0,5,11,9,3,1,5
15107722,1,4,1,0,0,2,0,7,6,8,0,5,11,9,4,10,5
15107730,2,7,1,1,0,9,0,5,5,8,0,3,2,5,1,13,5
15107748,2,1,1,1,0,1,0,5,5,8,1,2,7,4,1,13,2
15107789,1,3,1,1,0,2,0,7,6,8,0,5,11,9,4,10,4
